Timestamp,Game Mod(s),Game Name,Start Date,End Date,Game Thread Link,Winning Faction,Alignments Present,Game Type
2/9/2023 12:21:03,"ChaoticPotato, Stormdreamer",They're All In Cahoots!,25 Sep 2022,4 Oct 2022,https://www1.flightrising.com/forums/qnc/3171417,Mafia,"Town, Mafia, 3P",Non-RP
2/12/2023 18:20:22,ChaoticPotato,Traitor's Keep,28 Nov 2022,4 Dec 2022,https://www1.flightrising.com/forums/forga/3173934/43,"Town, 3P","Town, Mafia, 3P",Non-RP
5/18/2023 17:15:27,Tanglefire,A Little Witchy Christmas,15 Dec 2022,24 Dec 2022,https://www1.flightrising.com/forums/forga/3193375/1,Town,"Town, Mafia, 3P",Non-RP
5/15/2023 12:40:33,Tanglefire,"Beginner Mafia 2.0.1: Trains, Tests & TNT",1 Mar 2023,11 Mar 2023,https://www1.flightrising.com/forums/forga/3214860,Mafia,"Town, Mafia",Non-RP
7/4/2023 23:59:40,Storia,Legends & The Legendary,24 Apr 2023,14 May 2023,https://www1.flightrising.com/forums/forga/3233514/1,"Town, 3p","Town, Mafia, 3P",Non-RP
9/28/2023 21:07:29,Stormdreamer,Circus of Kaboom!,20 Jun 2023,4 Jul 2023,https://www1.flightrising.com/forums/forga/3249187,"Town, 3P","Town, Mafia, 3P",Non-RP
9/28/2023 21:22:13,TheMimic1013 ,XOver Mafia Round 6.2,12 Sep 2023,28 Sep 2023,https://www1.flightrising.com/forums/forga/3272356/1#post_3272356,Town,"Town, Mafia, 3P",Hybrid
10/6/2023 10:45:54,"Tanglefire, Storia, Islet",SS Skyline: Mafia's Voyage,24 Sep 2023,3 Oct 2023,https://www1.flightrising.com/forums/qnc/3274333/1,"Town, 3p ","Town, Mafia, 3P",Non-RP
10/24/2023 19:18:32,ArtMajor,Invasion on Polus,13 Oct 2023,24 Oct 2023,https://www1.flightrising.com/forums/forga/3279601/1#post_3279601,Town,"Town, Mafia, 3P",Non-RP
12/25/2023 0:16:35,ChaoticPotato,Merry Halloween,5 Dec 2023,16 Dec 2023,https://www1.flightrising.com/forums/forga/3295023/1#post_3295023,Town,"Town, Mafia, 3P",Non-RP
12/24/2023 21:13:58,"Polybius0147, ChaoticPotato",Fruitlobby Takeover,16 Dec 2023,24 Dec 2023,https://www1.flightrising.com/forums/forga/3297664/1,Town,"Town, Mafia",Non-RP
1/15/2024 19:34:45,dandelionfires,Inventor's Workshop I,2 Jan 2024,14 Jan 2024,https://www1.flightrising.com/forums/forga/3304592/1#post_3304592,Town,"Town, Mafia",Non-RP
1/19/2024 20:18:42,"ArtMajor, Storia",Secrets of the Airship,13 Jan 2024,19 Jan 2024,https://www1.flightrising.com/forums/forga/3307614/1#post_3307614,Town,"Town, Mafia, 3P",Non-RP
2/8/2024 11:04:12,Hiii,An Icy Murder Mystery,27 Jan 2024,4 Feb 2024,https://www1.flightrising.com/forums/forga/3309805/1,Town,"Town, Mafia, 3P",Non-RP
2/27/2024 22:14:45,"Storia, StormDreamer",ERROR 404,15 Feb 2024,24 Feb 2024,https://www1.flightrising.com/forums/forga/3315078,Mafia,"Town, Mafia, 3P",Non-RP
3/23/2024 22:38:34,"Polybius0147, dandelionfires",It’s JOAT-ever,14 Mar 2024,23 Mar 2024,https://www1.flightrising.com/forums/forga/3322138/1,Town,"Town, Mafia",Non-RP
4/16/2024 0:40:57,"ArtMajor, Polybius0147",Betrayal in the Beneath,29 Mar 2024,15 Apr 2024,https://www1.flightrising.com/forums/forga/3325528/1#post_3325528,"Town, 3P secondary wins (non-game ending)","Town, Mafia, 3P",Non-RP
4/23/2024 22:39:59,"dandelionfires, polybius0147",Poetry Lovers Mafia,17 Apr 2024,23 Apr 2024,https://www1.flightrising.com/forums/forga/3330494/1#post_3330494,Mafia,"Town, Mafia, 3P",Non-RP
6/10/2024 22:29:29,"softsylveon, Hiii, polybius0147 ",PMD Upick,31 May 2024,10 Jun 2024,https://www1.flightrising.com/forums/forga/3341349/1,Mafia,"Town, Mafia, 3P",Non-RP
8/22/2024 8:24:20,"ArtMajor, natsinabucket, terrify",Lost In The Fungle,5 Aug 2024,20 Aug 2024,https://www1.flightrising.com/forums/forga/3357610/1,Arsonist (3p),"Town, Mafia, 3P",Non-RP
9/25/2024 3:04:25,"ShinyDecidueye, Storia",Layers of Deception,12 Sep 2024,24 Sep 2024,https://www1.flightrising.com/forums/forga/3364575/1,"3p, Arsonist and Jester","Mafia, 3P",Non-RP
10/3/2024 22:44:08,"Tanglefire, Storia, Polybius0147",Starward Secrets Mafia,22 Sep 2024,3 Oct 2024,https://www1.flightrising.com/forums/qnc/3365691/1,Mafia,"Town, Mafia",Non-RP
10/19/2024 22:36:35,"Polybius0147, ChaoticPotato, softsylveon",Blinding Stew,10/7/2024,10/19/2024,https://www1.flightrising.com/forums/forga/3368962,Town,"Town, Mafia",Non-RP
11/10/2024 9:35:27,"StormDreamer, Storia",meow meow meowfia,11/6/2024,11/10/2024,https://www1.flightrising.com/forums/forga/3374769,Mafia,"Town, Mafia",Non-RP
